InvoiceDate,StockCode,Description,Quantity,UnitPrice,line_total
"2010-12-01 08:45:00",10002,"INFLATABLE POLITICAL GLOBE ",48,0.85,40.80
"2010-12-01 08:45:00",21035,"SET/2 RED RETROSPOT TEA TOWELS ",18,2.95,53.10
"2010-12-01 08:45:00",21724,"PANDA AND BUNNIES STICKER SHEET",12,0.85,10.20
"2010-12-01 08:45:00",21731,"RED TOADSTOOL LED NIGHT LIGHT",24,1.65,39.60
"2010-12-01 08:45:00",21791,"VINTAGE HEADS AND TAILS CARD GAME ",24,1.25,30.00
"2010-12-01 08:45:00",21883,"STARS GIFT TAPE ",24,0.65,15.60
"2010-12-01 08:45:00",21913,"VINTAGE SEASIDE JIGSAW PUZZLES",12,3.75,45.00
"2010-12-01 08:45:00",22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",24,2.95,70.80
"2010-12-01 08:45:00",22492,"MINI PAINT SET VINTAGE ",36,0.65,23.40
"2010-12-01 08:45:00",22540,"MINI JIGSAW CIRCUS PARADE ",24,0.42,10.08
"2010-12-01 08:45:00",22544,"MINI JIGSAW SPACEBOY",24,0.42,10.08
"2010-12-01 08:45:00",22629,"SPACEBOY LUNCH BOX ",24,1.95,46.80
"2010-12-01 08:45:00",22631,"CIRCUS PARADE LUNCH BOX ",24,1.95,46.80
"2010-12-01 08:45:00",22659,"LUNCH BOX I LOVE LONDON",24,1.95,46.80
"2010-12-01 08:45:00",22661,"CHARLOTTE BAG DOLLY GIRL DESIGN",20,0.85,17.00
"2010-12-01 08:45:00",22726,"ALARM CLOCK BAKELIKE GREEN",12,3.75,45.00
"2010-12-01 08:45:00",22727,"ALARM CLOCK BAKELIKE RED ",24,3.75,90.00
"2010-12-01 08:45:00",22728,"ALARM CLOCK BAKELIKE PINK",24,3.75,90.00
"2010-12-01 08:45:00",22900," SET 2 TEA TOWELS I LOVE LONDON ",24,2.95,70.80
"2010-12-01 08:45:00",POST,POSTAGE,3,18.00,54.00
"2010-12-01 08:45:00",22900,"SET 2 TEA TOWELS I LOVE LONDON ",24,2.95,70.80
"2011-01-07 12:07:00",21731,"RED TOADSTOOL LED NIGHT LIGHT",12,1.65,19.80
"2011-01-07 12:07:00",21883,"STARS GIFT TAPE ",144,0.19,27.36
"2011-01-07 12:07:00",22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",18,2.95,53.10
"2011-01-07 12:07:00",22726,"ALARM CLOCK BAKELIKE GREEN",16,3.75,60.00
"2011-01-07 12:07:00",22727,"ALARM CLOCK BAKELIKE RED ",12,3.75,45.00
"2011-01-07 12:07:00",22728,"ALARM CLOCK BAKELIKE PINK",12,3.75,45.00
"2011-01-07 12:07:00",POST,POSTAGE,3,18.00,54.00
"2011-01-07 12:07:00",21094,"SET/6 RED SPOTTY PAPER PLATES",12,0.85,10.20
"2011-01-07 12:07:00",21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",12,0.85,10.20
"2011-01-07 12:07:00",21086,"SET/6 RED SPOTTY PAPER CUPS",12,0.65,7.80
"2011-01-07 12:07:00",22729,"ALARM CLOCK BAKELIKE ORANGE",12,3.75,45.00
"2011-01-07 12:07:00",20750,"RED RETROSPOT MINI CASES",4,7.95,31.80
"2011-01-07 12:07:00",22367,"CHILDRENS APRON SPACEBOY DESIGN",8,1.95,15.60
"2011-01-07 12:07:00",22551,"PLASTERS IN TIN SPACEBOY",24,1.65,39.60
"2011-01-07 12:07:00",21121,"SET/10 RED POLKADOT PARTY CANDLES",24,1.25,30.00
"2011-01-07 12:07:00",22333,"RETROSPOT PARTY BAG + STICKER SET",16,1.65,26.40
"2011-01-07 12:07:00",22555,"PLASTERS IN TIN STRONGMAN",24,1.65,39.60
"2011-01-07 12:07:00",22556,"PLASTERS IN TIN CIRCUS PARADE ",24,1.65,39.60
"2011-01-07 12:07:00",21042,"RED RETROSPOT APRON ",6,5.95,35.70
"2011-01-07 12:07:00",20719,"WOODLAND CHARLOTTE BAG",20,0.85,17.00
"2011-01-07 12:07:00",22331,"WOODLAND PARTY BAG + STICKER SET",16,1.65,26.40
"2011-01-07 12:07:00",22390,"PAPERWEIGHT CHILDHOOD MEMORIES",60,0.85,51.00
"2011-02-10 15:38:00",22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",12,2.95,35.40
"2011-02-10 15:38:00",22492,"MINI PAINT SET VINTAGE ",108,0.65,70.20
"2011-02-10 15:38:00",22540,"MINI JIGSAW CIRCUS PARADE ",72,0.42,30.24
"2011-02-10 15:38:00",POST,POSTAGE,2,18.00,36.00
"2011-02-10 15:38:00",22551,"PLASTERS IN TIN SPACEBOY",12,1.65,19.80
"2011-02-10 15:38:00",22554,"PLASTERS IN TIN WOODLAND ANIMALS",24,1.65,39.60
"2011-02-10 15:38:00",22616,"PACK OF 12 LONDON TISSUES ",24,0.29,6.96
"2011-02-10 15:38:00",21981,"PACK OF 12 WOODLAND TISSUES ",24,0.29,6.96
"2011-02-10 15:38:00",22539,"MINI JIGSAW DOLLY GIRL",24,0.42,10.08
"2011-02-10 15:38:00",22556,"PLASTERS IN TIN CIRCUS PARADE ",24,1.65,39.60
"2011-02-10 15:38:00",22614,"PACK OF 12 SPACEBOY TISSUES",24,0.29,6.96
"2011-02-10 15:38:00",22615,"PACK OF 12 CIRCUS PARADE TISSUES ",24,0.29,6.96
"2011-02-10 15:38:00",16218,"CARTOON  PENCIL SHARPENERS",80,0.16,12.80
"2011-03-11 12:00:00",21731,"RED TOADSTOOL LED NIGHT LIGHT",24,1.65,39.60
"2011-03-11 12:00:00",22492,"MINI PAINT SET VINTAGE ",36,0.65,23.40
"2011-03-11 12:00:00",POST,POSTAGE,2,18.00,36.00
"2011-03-11 12:00:00",21094,"SET/6 RED SPOTTY PAPER PLATES",24,0.85,20.40
"2011-03-11 12:00:00",21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",12,2.55,30.60
"2011-03-11 12:00:00",21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",24,0.85,20.40
"2011-03-11 12:00:00",21086,"SET/6 RED SPOTTY PAPER CUPS",24,0.65,15.60
"2011-03-11 12:00:00",22197,"SMALL POPCORN HOLDER",36,0.85,30.60
"2011-03-11 12:00:00",22729,"ALARM CLOCK BAKELIKE ORANGE",4,3.75,15.00
"2011-03-11 12:00:00",22554,"PLASTERS IN TIN WOODLAND ANIMALS",24,1.65,39.60
"2011-03-11 12:00:00",22333,"RETROSPOT PARTY BAG + STICKER SET",24,1.65,39.60
"2011-03-11 12:00:00",22556,"PLASTERS IN TIN CIRCUS PARADE ",24,1.65,39.60
"2011-03-11 12:00:00",21042,"RED RETROSPOT APRON ",6,5.95,35.70
"2011-03-11 12:00:00",22090,"PAPER BUNTING RETROSPOT",18,2.95,53.10
"2011-03-11 12:00:00",21240,"BLUE POLKADOT CUP",8,0.85,6.80
"2011-03-11 12:00:00",22331,"WOODLAND PARTY BAG + STICKER SET",8,1.65,13.20
"2011-03-11 12:00:00",22991,"GIRAFFE WOODEN RULER",12,1.95,23.40
"2011-03-11 12:00:00",23009,"I LOVE LONDON BABY GIFT SET",6,14.95,89.70
"2011-03-11 12:00:00",23007," SPACEBOY BABY GIFT SET",6,14.95,89.70
"2011-03-11 12:00:00",23010,"CIRCUS PARADE BABY GIFT SET",3,16.95,50.85
"2011-03-11 12:00:00",22197,"POPCORN HOLDER",36,0.85,30.60
"2011-05-23 09:48:00",22492,"MINI PAINT SET VINTAGE ",36,0.65,23.40
"2011-05-23 09:48:00",POST,POSTAGE,2,18.00,36.00
"2011-05-23 09:48:00",21212,"PACK OF 72 RETROSPOT CAKE CASES",24,0.55,13.20
"2011-05-23 09:48:00",22729,"ALARM CLOCK BAKELIKE ORANGE",4,3.75,15.00
"2011-05-23 09:48:00",84380,"SET OF 3 BUTTERFLY COOKIE CUTTERS",12,1.25,15.00
"2011-05-23 09:48:00",21245,"GREEN POLKADOT PLATE ",8,1.69,13.52
"2011-05-23 09:48:00",21154,"RED RETROSPOT OVEN GLOVE ",10,1.25,12.50
"2011-05-23 09:48:00",21121,"SET/10 RED POLKADOT PARTY CANDLES",24,1.25,30.00
"2011-05-23 09:48:00",22556,"PLASTERS IN TIN CIRCUS PARADE ",24,1.65,39.60
"2011-05-23 09:48:00",21238,"RED RETROSPOT CUP",8,0.85,6.80
"2011-05-23 09:48:00",22434,"BALLOON PUMP WITH 10 BALLOONS",8,1.95,15.60
"2011-05-23 09:48:00",20983,"12 PENCILS TALL TUBE RED RETROSPOT",12,0.85,10.20
"2011-05-23 09:48:00",22090,"PAPER BUNTING RETROSPOT",40,2.55,102.00
"2011-05-23 09:48:00",20981,"12 PENCILS TALL TUBE WOODLAND",12,0.85,10.20
"2011-05-23 09:48:00",20724,"RED RETROSPOT CHARLOTTE BAG",10,0.85,8.50
"2011-05-23 09:48:00",20719,"WOODLAND CHARLOTTE BAG",10,0.85,8.50
"2011-05-23 09:48:00",21240,"BLUE POLKADOT CUP",8,0.85,6.80
"2011-05-23 09:48:00",21039,"RED RETROSPOT SHOPPING BAG",6,2.55,15.30
"2011-05-23 09:48:00",23280,"FOLDING BUTTERFLY MIRROR HOT PINK ",24,0.83,19.92
"2011-05-23 09:48:00",23281,"FOLDING BUTTERFLY MIRROR RED  ",24,0.83,19.92
"2011-05-23 09:48:00",23280,"FOLDING MIRROR HOT PINK ",24,0.83,19.92
"2011-05-23 09:48:00",23281,"FOLDING MIRROR RED  ",24,0.83,19.92
"2011-06-12 10:47:00",POST,POSTAGE,2,18.00,36.00
"2011-06-12 10:47:00",22466,"FAIRY TALE COTTAGE NIGHTLIGHT",12,1.95,23.40
"2011-06-12 10:47:00",22197,"SMALL POPCORN HOLDER",36,0.85,30.60
"2011-06-12 10:47:00",21210,"SET OF 72 RETROSPOT PAPER  DOILIES",12,1.45,17.40
"2011-06-12 10:47:00",22610,"PENS ASSORTED FUNNY FACE",360,0.19,68.40
"2011-06-12 10:47:00",21242,"RED RETROSPOT PLATE ",8,1.69,13.52
"2011-06-12 10:47:00",21244,"BLUE POLKADOT PLATE ",8,1.69,13.52
"2011-06-12 10:47:00",22561,"WOODEN SCHOOL COLOURING SET",12,1.65,19.80
"2011-06-12 10:47:00",21238,"RED RETROSPOT CUP",8,0.85,6.80
"2011-06-12 10:47:00",22356,"CHARLOTTE BAG PINK POLKADOT",10,0.85,8.50
"2011-06-12 10:47:00",21240,"BLUE POLKADOT CUP",8,0.85,6.80
"2011-06-12 10:47:00",22609,"PENS ASSORTED SPACEBALL",216,0.19,41.04
"2011-06-12 10:47:00",23298,"SPOTTY BUNTING",12,4.95,59.40
"2011-06-12 10:47:00",23298,"BUNTING , SPOTTY ",12,4.95,59.40
"2011-06-12 10:47:00",23100,"SILVER BELLS TABLE DECORATION",12,1.25,15.00
"2011-06-12 10:47:00",22197,"POPCORN HOLDER",36,0.85,30.60
"2011-06-12 10:47:00",22466,"FAIRY TALE COTTAGE NIGHT LIGHT",12,1.95,23.40
"2011-06-21 14:30:00",22726,"ALARM CLOCK BAKELIKE GREEN",16,3.75,60.00
"2011-06-21 14:30:00",22727,"ALARM CLOCK BAKELIKE RED ",12,3.75,45.00
"2011-06-21 14:30:00",22728,"ALARM CLOCK BAKELIKE PINK",4,3.75,15.00
"2011-06-21 14:30:00",POST,POSTAGE,1,18.00,18.00
"2011-06-21 14:30:00",21094,"SET/6 RED SPOTTY PAPER PLATES",12,0.85,10.20
"2011-06-21 14:30:00",21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",6,2.55,15.30
"2011-06-21 14:30:00",21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",12,0.85,10.20
"2011-06-21 14:30:00",21086,"SET/6 RED SPOTTY PAPER CUPS",12,0.65,7.80
"2011-06-21 14:30:00",22729,"ALARM CLOCK BAKELIKE ORANGE",4,3.75,15.00
"2011-06-21 14:30:00",22333,"RETROSPOT PARTY BAG + STICKER SET",16,1.65,26.40
"2011-06-21 14:30:00",16218,"CARTOON  PENCIL SHARPENERS",240,0.06,14.40
"2011-06-21 14:30:00",23124,"18PC WOODEN CUTLERY SET DISPOSABLE",16,1.25,20.00
"2011-07-08 12:22:00",22728,"ALARM CLOCK BAKELIKE PINK",4,3.75,15.00
"2011-07-08 12:22:00",POST,POSTAGE,2,18.00,36.00
"2011-07-08 12:22:00",21094,"SET/6 RED SPOTTY PAPER PLATES",12,0.85,10.20
"2011-07-08 12:22:00",21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",12,0.85,10.20
"2011-07-08 12:22:00",21086,"SET/6 RED SPOTTY PAPER CUPS",12,0.65,7.80
"2011-07-08 12:22:00",22551,"PLASTERS IN TIN SPACEBOY",24,1.65,39.60
"2011-07-08 12:22:00",22554,"PLASTERS IN TIN WOODLAND ANIMALS",24,1.65,39.60
"2011-07-08 12:22:00",22955,"36 FOIL STAR CAKE CASES ",12,2.10,25.20
"2011-07-08 12:22:00",22556,"PLASTERS IN TIN CIRCUS PARADE ",24,1.65,39.60
"2011-07-08 12:22:00",21987,"PACK OF 6 SKULL PAPER CUPS",12,0.65,7.80
"2011-07-08 12:22:00",21988,"PACK OF 6 SKULL PAPER PLATES",12,0.85,10.20
"2011-07-08 12:22:00",21989,"PACK OF 20 SKULL PAPER NAPKINS",12,0.85,10.20
"2011-07-08 12:22:00",22636,"CHILDS BREAKFAST SET CIRCUS PARADE",2,8.50,17.00
"2011-07-08 12:22:00",35970,"ZINC FOLKART SLEIGH BELLS",36,1.69,60.84
"2011-08-25 12:26:00",22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",18,2.95,53.10
"2011-08-25 12:26:00",POST,POSTAGE,1,18.00,18.00
"2011-08-25 12:26:00",21094,"SET/6 RED SPOTTY PAPER PLATES",24,0.85,20.40
"2011-08-25 12:26:00",21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",24,0.85,20.40
"2011-08-25 12:26:00",21086,"SET/6 RED SPOTTY PAPER CUPS",24,0.65,15.60
"2011-08-25 12:26:00",21210,"SET OF 72 RETROSPOT PAPER  DOILIES",12,1.45,17.40
"2011-08-25 12:26:00",21156,"RETROSPOT CHILDRENS APRON",8,1.95,15.60
"2011-08-25 12:26:00",22082,"RIBBON REEL STRIPES DESIGN ",10,1.65,16.50
"2011-08-25 12:26:00",22081,"RIBBON REEL FLORA + FAUNA ",10,1.65,16.50
"2011-08-25 12:26:00",22080,"RIBBON REEL POLKADOTS ",20,1.65,33.00
"2011-08-25 12:26:00",23445,"ICE CREAM BUBBLES",20,0.83,16.60
"2011-09-21 10:40:00",21731,"RED TOADSTOOL LED NIGHT LIGHT",12,1.65,19.80
"2011-09-21 10:40:00",22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",12,2.95,35.40
"2011-09-21 10:40:00",22492,"MINI PAINT SET VINTAGE ",72,0.65,46.80
"2011-09-21 10:40:00",22659,"LUNCH BOX I LOVE LONDON",12,1.95,23.40
"2011-09-21 10:40:00",22726,"ALARM CLOCK BAKELIKE GREEN",8,3.75,30.00
"2011-09-21 10:40:00",22727,"ALARM CLOCK BAKELIKE RED ",12,3.75,45.00
"2011-09-21 10:40:00",22728,"ALARM CLOCK BAKELIKE PINK",8,3.75,30.00
"2011-09-21 10:40:00",POST,POSTAGE,3,18.00,54.00
"2011-09-21 10:40:00",22778,"GLASS CLOCHE SMALL",4,3.95,15.80
"2011-09-21 10:40:00",22466,"FAIRY TALE COTTAGE NIGHTLIGHT",12,1.95,23.40
"2011-09-21 10:40:00",22197,"SMALL POPCORN HOLDER",24,0.85,20.40
"2011-09-21 10:40:00",21210,"SET OF 72 RETROSPOT PAPER  DOILIES",12,1.45,17.40
"2011-09-21 10:40:00",22333,"RETROSPOT PARTY BAG + STICKER SET",16,1.65,26.40
"2011-09-21 10:40:00",22778,"GLASS BELL JAR SMALL",4,3.95,15.80
"2011-09-21 10:40:00",21039,"RED RETROSPOT SHOPPING BAG",6,2.55,15.30
"2011-09-21 10:40:00",22991,"GIRAFFE WOODEN RULER",12,1.95,23.40
"2011-09-21 10:40:00",23169,"CLASSIC GLASS SWEET JAR",6,4.15,24.90
"2011-09-21 10:40:00",23169,"CLASSIC GLASS COOKIE JAR",6,4.15,24.90
"2011-09-21 10:40:00",22197,"POPCORN HOLDER",24,0.85,20.40
"2011-09-21 10:40:00",23373,"VINTAGE CHRISTMAS PAPER GIFT BAG",10,0.82,8.20
"2011-09-21 10:40:00",23374,"RED SPOT PAPER GIFT BAG",20,0.82,16.40
"2011-09-21 10:40:00",23328,"SET 6 SCHOOL MILK BOTTLES IN CRATE",4,3.75,15.00
"2011-09-21 10:40:00",22466,"FAIRY TALE COTTAGE NIGHT LIGHT",12,1.95,23.40
"2011-09-21 10:40:00",23389,"SPACEBOY MINI BACKPACK",4,4.15,16.60
"2011-09-21 10:40:00",23390,"DOLLY GIRL MINI BACKPACK",4,4.15,16.60
